#mpa_vOct22_CHOCOPhlAnSGB_202212
#/contrib/laubitz/metaphlan4/bin/metaphlan LS149_S16_clean_R1.fastq.gz,LS149_S16_clean_R2.fastq.gz --bowtie2out metaphlan4/bowtie_allig/LS149_S16.bowtie2.bz2 --nproc 47 --add_viruses --input_type fastq -o metaphlan4/LS149_S16_profiled_metagenome.txt --bowtie2db /groups/pkiela/databases/metaphlan4
#511897071 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	37.5629	
k__Bacteria|p__Actinobacteria	2|201174	23.352	
k__Bacteria|p__Bacteroidetes	2|976	20.81766	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	5.82773	
k__Bacteria|p__Fusobacteria	2|32066	5.68794	
k__Bacteria|p__Proteobacteria	2|1224	3.33112	
k__Bacteria|p__Spirochaetes	2|203691	1.56269	
k__Bacteria|p__Tenericutes	2|544448	1.49111	
k__Bacteria|p__Candidatus_Absconditabacteria	2|221235	0.29588	
k__Bacteria|p__Synergistetes	2|508458	0.07097	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	23.03206	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	18.49283	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	17.60031	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	11.56191	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	5.68794	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	4.82624	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	4.4397	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	1.62202	
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	1.55708	
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	1.47158	
k__Bacteria|p__Bacteroidetes|c__CFGB72586	2|976|	1.44723	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.12851	
k__Bacteria|p__Bacteroidetes|c__CFGB570	2|976|	0.86093	
k__Bacteria|p__Firmicutes|c__CFGB4967	2|1239|	0.81593	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.76939	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanoperiomorbia	2|95818|2171981	0.73417	
